train_loss,val_loss,gap,is_overfitting
0.23491347677525096,0.14930225766411429,-0.08561121911113667,False
0.1655585689251075,0.1410740644748727,-0.024484504450234812,False
0.14566229483245693,0.10951582802754647,-0.03614646680491046,False
0.11996489994307558,0.09060781523855595,-0.02935708470451963,False
0.10348203737146075,0.08100190216353323,-0.02248013520792752,False
0.09375924842445633,0.07156919123111642,-0.022190057193339913,False
0.08147637000183436,0.06430717854971177,-0.01716919145212259,False
0.07475508183045566,0.05811403732309895,-0.016641044507356713,False
0.07052885463429796,0.054119698878967774,-0.01640915575533019,False
0.06929362312385895,0.05246725919889568,-0.01682636392496327,False
0.07642594874984604,0.053608167204812186,-0.022817781545033854,False
0.0723196938145609,0.052480541696679636,-0.01983915211788126,False
0.06711346281884498,0.05326868356751704,-0.013844779251327939,False
0.058712668872395644,0.04292857688834762,-0.015784091984048024,False
0.05411442921141297,0.04046734039105268,-0.013647088820360288,False
0.05071044545691356,0.035101878185370236,-0.015608567271543326,False
0.04836609601080109,0.030986289537659292,-0.0173798064731418,False
0.04300308412068792,0.02903719209900358,-0.013965892021684342,False
0.04105405360537383,0.02690895913031398,-0.014145094475059846,False
0.03849048805996524,0.024264673356692044,-0.014225814703273193,False
